nCOV19_400_1_LEFT	nCOV19_400_1_RIGHT
nCOV19_400_2_LEFT	nCOV19_400_2_RIGHT
nCOV19_400_3_LEFT	nCOV19_400_3_RIGHT
nCOV19_400_4_LEFT	nCOV19_400_4_RIGHT
nCOV19_400_5_LEFT	nCOV19_400_5_RIGHT
nCOV19_400_6_LEFT	nCOV19_400_6_RIGHT
nCOV19_400_7_LEFT	nCOV19_400_7_RIGHT
nCOV19_400_8_LEFT	nCOV19_400_8_RIGHT
nCOV19_400_9_LEFT	nCOV19_400_9_RIGHT
nCOV19_400_10_LEFT	nCOV19_400_10_RIGHT
nCOV19_400_11_LEFT	nCOV19_400_11_RIGHT
nCOV19_400_12_LEFT	nCOV19_400_12_RIGHT
nCOV19_400_13_LEFT	nCOV19_400_13_RIGHT
nCOV19_400_14_LEFT	nCOV19_400_14_RIGHT
nCOV19_400_15_LEFT	nCOV19_400_15_RIGHT
nCOV19_400_16_LEFT	nCOV19_400_16_RIGHT
nCOV19_400_17_LEFT	nCOV19_400_17_RIGHT
nCOV19_400_18_LEFT	nCOV19_400_18_RIGHT
nCOV19_400_19_LEFT	nCOV19_400_19_RIGHT
nCOV19_400_20_LEFT	nCOV19_400_20_RIGHT
nCOV19_400_21_LEFT	nCOV19_400_21_RIGHT
nCOV19_400_22_LEFT	nCOV19_400_22_RIGHT
nCOV19_400_23_LEFT	nCOV19_400_23_RIGHT
nCOV19_400_24_LEFT	nCOV19_400_24_RIGHT
nCOV19_400_25_LEFT	nCOV19_400_25_RIGHT
nCOV19_400_26_LEFT	nCOV19_400_26_RIGHT
nCOV19_400_27_LEFT	nCOV19_400_27_RIGHT
nCOV19_400_28_LEFT	nCOV19_400_28_RIGHT
nCOV19_400_29_LEFT	nCOV19_400_29_RIGHT
nCOV19_400_30_LEFT	nCOV19_400_30_RIGHT
nCOV19_400_31_LEFT	nCOV19_400_31_RIGHT
nCOV19_400_32_LEFT	nCOV19_400_32_RIGHT
nCOV19_400_33_LEFT	nCOV19_400_33_RIGHT
nCOV19_400_34_LEFT	nCOV19_400_34_RIGHT
nCOV19_400_35_LEFT	nCOV19_400_35_RIGHT
nCOV19_400_36_LEFT	nCOV19_400_36_RIGHT
nCOV19_400_37_LEFT	nCOV19_400_37_RIGHT
nCOV19_400_38_LEFT	nCOV19_400_38_RIGHT
nCOV19_400_39_LEFT	nCOV19_400_39_RIGHT
nCOV19_400_40_LEFT	nCOV19_400_40_RIGHT
nCOV19_400_41_LEFT	nCOV19_400_41_RIGHT
nCOV19_400_42_LEFT	nCOV19_400_42_RIGHT
nCOV19_400_43_LEFT	nCOV19_400_43_RIGHT
nCOV19_400_44_LEFT	nCOV19_400_44_RIGHT
nCOV19_400_45_LEFT	nCOV19_400_45_RIGHT
nCOV19_400_46_LEFT	nCOV19_400_46_RIGHT
nCOV19_400_47_LEFT	nCOV19_400_47_RIGHT
nCOV19_400_48_LEFT	nCOV19_400_48_RIGHT
nCOV19_400_49_LEFT	nCOV19_400_49_RIGHT
nCOV19_400_50_LEFT	nCOV19_400_50_RIGHT
nCOV19_400_51_LEFT	nCOV19_400_51_RIGHT
nCOV19_400_52_LEFT	nCOV19_400_52_RIGHT
nCOV19_400_53_LEFT	nCOV19_400_53_RIGHT
nCOV19_400_54_LEFT	nCOV19_400_54_RIGHT
nCOV19_400_55_LEFT	nCOV19_400_55_RIGHT
nCOV19_400_56_LEFT	nCOV19_400_56_RIGHT
nCOV19_400_57_LEFT	nCOV19_400_57_RIGHT
nCOV19_400_58_LEFT	nCOV19_400_58_RIGHT
nCOV19_400_59_LEFT	nCOV19_400_59_RIGHT
nCOV19_400_60_LEFT	nCOV19_400_60_RIGHT
nCOV19_400_61_LEFT	nCOV19_400_61_RIGHT
nCOV19_400_62_LEFT	nCOV19_400_62_RIGHT
nCOV19_400_63_LEFT	nCOV19_400_63_RIGHT
nCOV19_400_64_LEFT	nCOV19_400_64_RIGHT
nCOV19_400_65_LEFT	nCOV19_400_65_RIGHT
nCOV19_400_66_LEFT	nCOV19_400_66_RIGHT
nCOV19_400_67_LEFT	nCOV19_400_67_RIGHT
nCOV19_400_68_LEFT	nCOV19_400_68_RIGHT
nCOV19_400_69_LEFT	nCOV19_400_69_RIGHT
nCOV19_400_70_LEFT	nCOV19_400_70_RIGHT
nCOV19_400_71_LEFT	nCOV19_400_71_RIGHT
nCOV19_400_72_LEFT	nCOV19_400_72_RIGHT
nCOV19_400_73_LEFT	nCOV19_400_73_RIGHT
nCOV19_400_74_LEFT	nCOV19_400_74_RIGHT
nCOV19_400_75_LEFT	nCOV19_400_75_RIGHT
nCOV19_400_76_LEFT	nCOV19_400_76_RIGHT
nCOV19_400_77_LEFT	nCOV19_400_77_RIGHT
nCOV19_400_78_LEFT	nCOV19_400_78_RIGHT
nCOV19_400_79_LEFT	nCOV19_400_79_RIGHT
nCOV19_400_80_LEFT	nCOV19_400_80_RIGHT
nCOV19_400_81_LEFT	nCOV19_400_81_RIGHT
nCOV19_400_82_LEFT	nCOV19_400_82_RIGHT
nCOV19_400_83_LEFT	nCOV19_400_83_RIGHT
nCOV19_400_84_LEFT	nCOV19_400_84_RIGHT
nCOV19_400_85_LEFT	nCOV19_400_85_RIGHT
nCOV19_400_86_LEFT	nCOV19_400_86_RIGHT
nCOV19_400_87_LEFT	nCOV19_400_87_RIGHT
nCOV19_400_88_LEFT	nCOV19_400_88_RIGHT
nCOV19_400_89_LEFT	nCOV19_400_89_RIGHT
nCOV19_400_90_LEFT	nCOV19_400_90_RIGHT
nCOV19_400_91_LEFT	nCOV19_400_91_RIGHT
nCOV19_400_92_LEFT	nCOV19_400_92_RIGHT
nCOV19_400_93_LEFT	nCOV19_400_93_RIGHT
nCOV19_400_94_LEFT	nCOV19_400_94_RIGHT
nCOV19_400_95_LEFT	nCOV19_400_95_RIGHT
nCOV19_400_96_LEFT  nCOV19_400_96_RIGHT